titulo,href,valoracion,duracion,dificultad,categorias,ingredientes,categoria_principal
Receta de Paella de espárragos y gambas,/receta-106/paella-de-esparragos-y-gambas,5,Entre 15 y 30 min.,Sencilla,"['light', 'exóticas', 'veraniegas', 'mediterráneas']","['Gamba', 'Espárrago', 'Puerro', 'Ajo', 'Aceite de oliva', 'Vino blanco', 'Arroz', 'Agua', 'Cubito de caldo', 'Azafrán', 'Huevo']",light
Receta de Arroz con pollo (Paella sencilla),/receta-668/arroz-con-pollo-paella-sencilla,5,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'mediterráneas']","['Cebolla', 'Pimiento rojo', 'Ajo', 'Tomate', 'Laurel', 'Sal', 'Aceite de oliva', 'Arroz', 'Agua', 'Azafrán', 'Limón', 'Pollo', 'Pechuga de pollo']",tradicionales
Receta de Arroz con verduras,/receta-900/arroz-con-verduras,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'mediterráneas', 'para tupper']","['Calabacín', 'Puerro', 'Zanahoria', 'Brécol', 'Pimiento rojo', 'Arroz', 'Caldo de verdura', 'Aceite de oliva', 'Cúrcuma', 'Ajo']",light
Receta de Arroz de mi amatxo,/receta-743/arroz-de-mi-amatxo,5,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'invernales', 'tradicionales', 'para niños', 'mediterráneas']","['Arroz', 'Chistorra', 'Salchica fresca', 'Pechuga de pollo', 'Aceituna', 'Sal', 'Colorante alimenticio']",veraniegas
Receta de risotto shiitake a los tres quesos,/receta-842/risotto-shiitake-a-los-tres-quesos,5,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'exóticas']","['Seta shiitake', 'Arroz', 'Queso Parmesano', 'Queso para untar', 'Queso Roquefort', 'Aceite de oliva', 'Cebolla']",vegetarianas
Receta de Arroz con Brócoli y pasas,/receta-1065/arroz-con-brocoli-y-pasas,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'invernales', 'afrodisíacas', 'mediterráneas', 'para tupper']","['Arroz Basmati', 'Brécol', 'Pasa', 'Guisante verde', 'Cebolla', 'Mango', 'Azafrán', 'Limón', 'Curry', 'Aceite de oliva', 'Mango']",light
Receta de Arroz con conejo.,/receta-983/arroz-con-conejo,5,Entre 30 y 60 min.,Sencilla,[],"['Conejo', 'Aceite de oliva', 'Arroz', 'Pimiento verde', 'Cebolla', 'Laurel']",
Receta de Arroz con Brócoli y pasas,/receta-1065/arroz-con-brocoli-y-pasas,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'invernales', 'afrodisíacas', 'mediterráneas', 'para tupper']","['Arroz Basmati', 'Brécol', 'Pasa', 'Guisante verde', 'Cebolla', 'Mango', 'Azafrán', 'Limón', 'Curry', 'Aceite de oliva', 'Mango']",light
Receta de Arroz Pilaf,/receta-1758/arroz-pilaf,5,Entre 15 y 30 min.,Sencilla,"['light', 'asiáticas']","['Arroz', 'Caldo de ave', 'Sal', 'Pimienta', 'Cebolla', 'Ajo', 'Laurel', 'Aceite']",light
Receta de Paella de espárragos y gambas,/receta-106/paella-de-esparragos-y-gambas,5,Entre 15 y 30 min.,Sencilla,"['light', 'exóticas', 'veraniegas', 'mediterráneas']","['Gamba', 'Espárrago', 'Puerro', 'Ajo', 'Aceite de oliva', 'Vino blanco', 'Arroz', 'Agua', 'Cubito de caldo', 'Azafrán', 'Huevo']",light
Receta de sushi (tekka maki),/receta-44/sushi-tekka-maki,5,Entre 30 y 60 min.,Muy difícil,"['exóticas', 'para fiestas', 'asiáticas']","['Alga Nori', 'Vinagre', 'Salsa wasabi', 'Salmón ahumado', 'Gamba', 'Arroz', 'Sal', 'Tortilla japonesa', 'Salsa de soja']",exóticas
Receta de arroz aromático con chipirones,/receta-358/arroz-aromatico-con-chipirones,5,Entre 15 y 30 min.,Media,"['light', 'asiáticas', 'mediterráneas']","['Chipirón', 'Harina', 'Sal', 'Aceite de oliva', 'Arroz salvaje', 'Cebolla', 'Laurel', 'Ajo', 'Jengibre']",light
Receta de Arroz con pollo (tipo paella pero sencillo),/receta-1332/arroz-con-pollo-tipo-paella-pero-sencillo,5,Entre 30 y 60 min.,Sencilla,['mediterráneas'],"['Arroz', 'Pollo', 'Salsa de tomate triturado', 'Cebolla', 'Aceite de oliva', 'Arroz', 'Sal', 'Azafrán', 'Cubito de caldo']",mediterráneas
Receta de Arroz gratinado al queso de Mahón,/receta-382/arroz-gratinado-al-queso-de-mahon,5,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'invernales', 'tradicionales', 'mediterráneas']","['Arroz', 'Cebolla', 'Champiñón', 'Salsa de tomate frito', 'Queso mahonés', 'Cubito de caldo', 'Agua', 'Sal']",vegetarianas
"Receta de ARROZ TRES DELICIAS ""A MI MANERA"" ",/receta-813/arroz-tres-delicias-quota-mi-maneraquot,5,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'mediterráneas']","['Arroz Basmati', 'Gamba', 'Cebolla', 'Pimiento verde', 'Guisante verde', 'Zanahoria', 'Huevo', 'Jamón cocido', 'Aceite', 'Sal']",tradicionales
Receta de Risotto de lechuga y hierbabuena,/receta-363/risotto-de-lechuga-y-hierbabuena,5,Entre 15 y 30 min.,Sencilla,[],"['Mantequilla', 'Lechuga', 'Hierbabuena', 'Caldo de ave', 'Vino blanco', 'Cebolla']",
Receta de pastelitos de arroz,/receta-143/pastelitos-de-arroz,5,Entre 30 y 60 min.,Media,"['veraniegas', 'para niños', 'para tupper']","['Arroz', 'Agua', 'Cubito de caldo', 'Laurel', 'Salsa de tomate frito', 'Atún natural en lata', 'Aceituna rellena de anchoa', 'Ajo', 'Aceite de oliva']",veraniegas
Receta de PASTEL DE ARROZ,/receta-925/pastel-de-arroz,5,Entre 15 y 30 min.,Media,"['veraniegas', 'mediterráneas']","['Arroz', 'Gamba', 'Atún en aceite en lata', 'Cangrejo', 'Mayonesa', 'Laurel', 'Huevo']",veraniegas
Receta de Pimientos rellenos de arroz,/receta-64/pimientos-rellenos-de-arroz,5,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'tradicionales', 'mediterráneas']","['Pimiento', 'Arroz', 'Huevo', 'Jamón cocido', 'Guisante verde', 'Aceite de oliva', 'Hierbas provenzales']",veraniegas
Receta de Paella mixta.,/receta-22/paella-mixta,5,Entre 30 y 60 min.,Media,"['veraniegas', 'tradicionales', 'mediterráneas']","['Gamba', 'Pimiento rojo', 'Calabacín', 'Cebolla', 'Coliflor', 'Judía', 'Champiñón', 'Mejillón', 'Calamar', 'Muslo de pollo', 'Costilla de cerdo', 'Salsa de tomate triturado', 'Agua', 'Cubito de caldo', 'Perejil', 'Ajo', 'Arroz', 'Colorante alimenticio', 'Aceite de oliva']",veraniegas
Receta de helado  mascarpone,/receta-631/helado-mascarpone,5,Menos de 15 min.,Sencilla,"['veraniegas', 'para fiestas', 'para niños', 'para Thermomix']","['Queso Mascarpone', 'Leche', 'Azúcar blanco', 'Azúcar blanco']",veraniegas
Receta de Risotto con Champiñones,/receta-331/risotto-con-champinones,5,Entre 15 y 30 min.,Sencilla,"['invernales', 'para fiestas']","['Arroz', 'Champiñón', 'Caldo de verdura', 'Ajo', 'Cebolleta', 'Mantequilla', 'Perejil', 'Pimienta', 'Aceite de oliva', 'Vino blanco', 'Queso rallado']",invernales
Receta de paella de verduras al toque de ajo,/receta-667/paella-de-verduras-al-toque-de-ajo,4,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'mediterráneas']","['Champiñón', 'Pimiento rojo', 'Puerro', 'Brécol', 'Coliflor', 'Zanahoria', 'Aceite de oliva', 'Ajo', 'Vinagre', 'Sal', 'Arroz', 'Azafrán', 'Vino blanco']",light
Receta de RISOTTO DE SETAS Y BACON ,/receta-431/risotto-de-setas-y-bacon,4,Entre 15 y 30 min.,Media,"['tradicionales', 'mediterráneas']","['Arroz', 'Caldo de carne', 'Sal', 'Mantequilla', 'Queso Parmesano', 'Aceite de oliva', 'Seta', 'Bacón', 'Cebolla', 'Vino blanco']",tradicionales
Receta de PAELLA DE VERDURAS Y MARISCO,/receta-1218/paella-de-verduras-y-marisco,4,Entre 30 y 60 min.,Sencilla,[],"['Arroz', 'Cebolla', 'Pimiento verde', 'Tomate', 'Ajo', 'Alcachofa', 'Zanahoria', 'Guisante verde', 'Gamba', 'Mejillón', 'Colorante alimenticio', 'Azafrán', 'Aceite', 'Agua', 'Caldo de pescado']",
Receta de Arroz hervido para sushi,/receta-825/arroz-hervido-para-sushi,4,Entre 30 y 60 min.,Sencilla,"['vegetarianas', 'exóticas', 'asiáticas']","['Arroz', 'Azúcar glass', 'Sal', 'Vinagre', 'Agua']",vegetarianas
